#CO attached
0.0 -2.6255645259353013
2.0 -2.7384239947347595
4.0 -2.2381947822714636
6.0 -1.509292748084178
8.0 -1.0838811233819996
10.0 -0.6596345913862223
12.0 -0.6411818939897529
14.0 -0.6248846025918482
#CO2 attached
2.0 -2.7598235392131727
4.0 -2.266473642628327
6.0 -1.8522156668483802
8.0 -1.6335978248752525
10.0 -1.6841562635844838
12.0 -2.4091920331342607
14.0 -3.1590439925359277
16.0 -3.05591840801587
# CO3 attched
2.0 -1.8149340582595368
4.0 -1.6336370949285737
6.0 -0.6961374739474167
8.0 -1.5893460646795319
10.0 -1.8140692178018725
12.0 -3.198099272753254
14.0 -2.9003664159035196
16.0 -3.6569843473250074
CO2 detached
4.0 -1.8689609216367415
6.0 -1.7702248424551925
8.0 -2.1650416647272976
10.0 -1.4520140430001192
12.0 -2.6794960263943466
14.0 -1.743919654277235
16.0 -0.6955901137618383
