      Step     Time          Energy         fmax
BFGS:    0 00:53:55      -13.994471        1.4665
BFGS:    1 00:54:12      -14.018446        0.5147
BFGS:    2 00:54:23      -14.025095        0.3804
BFGS:    3 00:54:40      -14.033047        0.1688
BFGS:    4 00:54:50      -14.033676        0.0320
BFGS:    5 00:54:54      -14.033688        0.0199
BFGS:    6 00:54:59      -14.033701        0.0358
BFGS:    7 00:55:06      -14.033751        0.0913
BFGS:    8 00:55:17      -14.033854        0.1725
BFGS:    9 00:55:27      -14.034037        0.2107
BFGS:   10 00:55:40      -14.034847        0.3226
BFGS:   11 00:55:53      -14.035411        0.3274
BFGS:   12 00:56:05      -14.036213        0.1981
BFGS:   13 00:56:19      -14.037162        0.0765
BFGS:   14 00:56:34      -14.037708        0.2470
BFGS:   15 00:56:45      -14.038020        0.0488
BFGS:   16 00:56:54      -14.038245        0.1377
BFGS:   17 00:57:04      -14.038290        0.1531
BFGS:   18 00:57:14      -14.038398        0.1173
BFGS:   19 00:57:24      -14.038507        0.0988
BFGS:   20 00:57:34      -14.038563        0.0812
BFGS:   21 00:57:41      -14.038605        0.0639
BFGS:   22 00:57:49      -14.038632        0.0499
BFGS:   23 00:57:54      -14.038686        0.0514
BFGS:   24 00:58:05      -14.039091        0.0600
BFGS:   25 00:58:18      -14.039678        0.0849
BFGS:   26 00:58:29      -14.039773        0.0988
BFGS:   27 00:58:41      -14.039801        0.1194
BFGS:   28 00:58:50      -14.039895        0.1266
BFGS:   29 00:58:59      -14.040108        0.1178
BFGS:   30 00:59:13      -14.040406        0.0960
BFGS:   31 00:59:27      -14.040630        0.0914
BFGS:   32 00:59:39      -14.040844        0.0544
BFGS:   33 01:00:00      -14.040378        0.0610
BFGS:   34 01:00:12      -14.040814        0.0260
BFGS:   35 01:00:34      -14.040475        0.0897
BFGS:   36 01:00:46      -14.040831        0.0654
BFGS:   37 01:01:02      -14.040457        0.0420
BFGS:   38 01:01:15      -14.040823        0.0224
BFGS:   39 01:01:35      -14.040475        0.0812
BFGS:   40 01:01:47      -14.040821        0.0654
BFGS:   41 01:02:04      -14.040399        0.0793
BFGS:   42 01:02:15      -14.040701        0.0590
BFGS:   43 01:02:26      -14.040817        0.0725
BFGS:   44 01:02:34      -14.040819        0.0621
BFGS:   45 01:02:46      -14.040425        0.1715
BFGS:   46 01:02:56      -14.040855        0.0333
BFGS:   47 01:03:03      -14.040864        0.0396
BFGS:   48 01:03:11      -14.040883        0.0319
BFGS:   49 01:03:14      -14.040886        0.0386
BFGS:   50 01:03:26      -14.040884        0.0887
BFGS:   51 01:03:35      -14.040996        0.0611
BFGS:   52 01:03:47      -14.041189        0.0298
BFGS:   53 01:04:04      -14.041371        0.0436
BFGS:   54 01:04:18      -14.041664        0.0617
BFGS:   55 01:04:33      -14.041849        0.1015
BFGS:   56 01:04:42      -14.041934        0.0278
BFGS:   57 01:04:53      -14.041993        0.0304
BFGS:   58 01:05:07      -14.041825        0.1255
BFGS:   59 01:05:20      -14.042043        0.0147
BFGS:   60 01:05:29      -14.042047        0.0178
BFGS:   61 01:05:44      -14.041687        0.1530
BFGS:   62 01:05:59      -14.041815        0.0933
BFGS:   63 01:06:10      -14.042043        0.0202
BFGS:   64 01:06:16      -14.042055        0.0278
BFGS:   65 01:06:26      -14.042054        0.0315
BFGS:   66 01:06:31      -14.042056        0.0217
BFGS:   67 01:06:45      -14.039915        0.3596
BFGS:   68 01:06:57      -14.041438        0.2632
BFGS:   69 01:07:11      -14.041995        0.0529
BFGS:   70 01:07:21      -14.042049        0.0199
BFGS:   71 01:07:24      -14.042052        0.0171
BFGS:   72 01:07:42      -14.037414        0.5669
BFGS:   73 01:07:53      -14.042058        0.0234
BFGS:   74 01:08:04      -14.042054        0.0226
BFGS:   75 01:08:10      -14.042060        0.0151
BFGS:   76 01:08:18      -14.042064        0.0141
BFGS:   77 01:08:26      -14.042070        0.0337
BFGS:   78 01:08:36      -14.041988        0.0711
BFGS:   79 01:08:44      -14.042072        0.0393
BFGS:   80 01:09:01      -14.041649        0.0838
BFGS:   81 01:09:14      -14.042077        0.0127
BFGS:   82 01:09:21      -14.042098        0.0190
BFGS:   83 01:09:35      -14.041754        0.1502
BFGS:   84 01:09:48      -14.042089        0.0373
BFGS:   85 01:09:59      -14.042114        0.0122
BFGS:   86 01:10:04      -14.042119        0.0112
BFGS:   87 01:10:19      -14.040645        0.3497
BFGS:   88 01:10:35      -14.042136        0.0385
BFGS:   89 01:10:42      -14.042142        0.0275
BFGS:   90 01:10:56      -14.041290        0.2197
BFGS:   91 01:11:10      -14.042145        0.0207
BFGS:   92 01:11:18      -14.042151        0.0384
BFGS:   93 01:11:32      -14.041277        0.2527
BFGS:   94 01:11:46      -14.042153        0.0534
BFGS:   95 01:11:55      -14.042165        0.0293
BFGS:   96 01:11:59      -14.042170        0.0278
BFGS:   97 01:12:19      -14.042137        0.0447
BFGS:   98 01:12:34      -14.042198        0.0246
BFGS:   99 01:12:48      -14.041986        0.0635
      Step     Time          Energy         fmax
BFGS:    0 01:13:03      -14.042133        0.0748
BFGS:    1 01:13:11      -14.042186        0.0287
BFGS:    2 01:13:17      -14.042198        0.0198
BFGS:    3 01:13:23      -14.042212        0.0074
