      Step     Time          Energy         fmax
BFGS:    0 03:27:17     -985.892860        0.5774
BFGS:    1 03:39:00     -985.933124        0.3016
BFGS:    2 03:54:31     -985.977839        0.4239
BFGS:    3 04:11:56     -986.013012        0.3779
BFGS:    4 04:23:38     -986.036114        0.2372
BFGS:    5 04:36:18     -986.049497        0.1583
BFGS:    6 04:50:50     -986.066610        0.2690
BFGS:    7 05:01:36     -986.077999        0.2396
BFGS:    8 05:15:12     -986.096715        0.2006
BFGS:    9 05:25:57     -986.106431        0.1629
BFGS:   10 05:39:34     -986.117736        0.1678
BFGS:   11 05:52:11     -986.125331        0.1618
BFGS:   12 06:03:53     -986.133904        0.1242
BFGS:   13 06:14:37     -986.137861        0.1103
BFGS:   14 06:25:22     -986.142252        0.1115
BFGS:   15 06:34:14     -986.145032        0.0995
BFGS:   16 06:44:59     -986.148309        0.0673
BFGS:   17 06:55:43     -986.150378        0.0581
BFGS:   18 07:06:29     -986.152100        0.0624
BFGS:   19 07:17:14     -986.153871        0.0538
BFGS:   20 07:27:59     -986.155088        0.0489
BFGS:   21 07:36:52     -986.156063        0.0361
BFGS:   22 07:45:43     -986.156770        0.0353
BFGS:   23 07:56:28     -986.157658        0.0440
BFGS:   24 08:03:26     -986.158126        0.0328
BFGS:   25 08:14:10     -986.158730        0.0457
BFGS:   26 08:23:02     -986.159166        0.0287
BFGS:   27 08:29:59     -986.159443        0.0255
BFGS:   28 08:40:44     -986.159698        0.0405
BFGS:   29 08:47:42     -986.159984        0.0288
BFGS:   30 08:54:40     -986.160185        0.0211
BFGS:   31 09:03:31     -986.160345        0.0177
BFGS:   32 09:10:29     -986.160501        0.0186
BFGS:   33 09:21:13     -986.160589        0.0213
BFGS:   34 09:30:06     -986.160814        0.0256
      Step     Time          Energy         fmax
BFGS:    0 09:30:06     -986.160814        0.0256
BFGS:    1 09:34:13     -986.160862        0.0259
BFGS:    2 09:43:04     -986.160759        0.0984
BFGS:    3 09:48:09     -986.161007        0.0697
BFGS:    4 09:58:53     -986.159862        0.1696
BFGS:    5 10:09:37     -986.160993        0.0323
BFGS:    6 10:16:36     -986.161094        0.0238
BFGS:    7 10:24:30     -986.161144        0.0335
BFGS:    8 10:29:34     -986.161199        0.0271
BFGS:    9 10:45:05     -986.158205        0.2130
BFGS:   10 10:59:36     -986.161321        0.0234
BFGS:   11 11:03:44     -986.161382        0.0469
BFGS:   12 11:10:43     -986.161407        0.0280
BFGS:   13 11:17:41     -986.161509        0.0207
BFGS:   14 11:24:39     -986.161636        0.0267
BFGS:   15 11:32:34     -986.161723        0.0277
BFGS:   16 11:40:28     -986.161894        0.0189
BFGS:   17 11:48:23     -986.161997        0.0114
BFGS:   18 11:56:18     -986.162091        0.0195
BFGS:   19 12:01:23     -986.162112        0.0152
BFGS:   20 12:08:21     -986.162147        0.0370
BFGS:   21 12:12:29     -986.162196        0.0346
BFGS:   22 12:25:07     -986.151052        0.7753
BFGS:   23 12:37:45     -986.162082        0.0439
BFGS:   24 12:47:34     -986.162212        0.0326
BFGS:   25 12:51:42     -986.162249        0.0270
BFGS:   26 12:58:40     -986.162205        0.0389
BFGS:   27 13:04:41     -986.162249        0.0227
BFGS:   28 13:09:46     -986.162260        0.0360
BFGS:   29 13:22:23     -986.151529        0.6305
BFGS:   30 13:35:03     -986.162231        0.0477
BFGS:   31 13:40:07     -986.162299        0.0549
BFGS:   32 13:45:11     -986.162227        0.0245
BFGS:   33 13:51:13     -986.162211        0.0506
BFGS:   34 13:56:17     -986.162194        0.0618
BFGS:   35 14:02:18     -986.162182        0.0836
BFGS:   36 14:09:17     -986.162216        0.0723
BFGS:   37 14:16:14     -986.162303        0.0265
BFGS:   38 14:20:22     -986.162317        0.0195
BFGS:   39 14:36:49     -986.031966        2.2265
BFGS:   40 14:55:06     -986.162151        0.0886
BFGS:   41 14:59:14     -986.162242        0.0707
BFGS:   42 15:10:00     -986.161112        0.2631
BFGS:   43 15:19:47     -986.162237        0.0250
BFGS:   44 15:23:54     -986.162263        0.0298
BFGS:   45 15:41:18     -985.981459        3.3758
BFGS:   46 16:03:22     -986.162191        0.0412
BFGS:   47 16:08:26     -986.162272        0.0284
BFGS:   48 16:16:21     -986.161940        0.1158
BFGS:   49 16:23:19     -986.162283        0.0335
BFGS:   50 16:27:27     -986.162296        0.0189
BFGS:   51 16:31:34     -986.162247        0.0287
BFGS:   52 16:35:42     -986.162278        0.0568
BFGS:   53 16:44:33     -986.162107        0.0984
BFGS:   54 16:51:31     -986.162296        0.0209
BFGS:   55 16:55:38     -986.162303        0.0101
BFGS:   56 16:59:46     -986.162282        0.0226
BFGS:   57 17:03:54     -986.162257        0.0398
BFGS:   58 17:08:02     -986.162257        0.0302
BFGS:   59 17:15:00     -986.162162        0.0598
BFGS:   60 17:21:58     -986.162292        0.0302
BFGS:   61 17:28:56     -986.162313        0.0127
BFGS:   62 17:33:04     -986.162325        0.0216
BFGS:   63 17:37:11     -986.162320        0.0282
BFGS:   64 17:41:20     -986.162294        0.0408
BFGS:   65 17:45:27     -986.162279        0.0537
BFGS:   66 17:53:22     -986.162067        0.0371
BFGS:   67 18:01:17     -986.162286        0.0152
BFGS:   68 18:08:15     -986.162339        0.0151
BFGS:   69 18:15:13     -986.162330        0.0117
BFGS:   70 18:19:21     -986.162309        0.0132
BFGS:   71 18:24:25     -986.162256        0.0109
BFGS:   72 18:28:33     -986.162286        0.0214
BFGS:   73 18:32:41     -986.162314        0.0168
BFGS:   74 18:40:36     -986.162256        0.0194
BFGS:   75 18:44:43     -986.162323        0.0241
BFGS:   76 18:51:42     -986.162266        0.0239
BFGS:   77 18:55:49     -986.162322        0.0309
BFGS:   78 19:06:35     -986.161638        0.0938
BFGS:   79 19:17:20     -986.162322        0.0145
BFGS:   80 19:21:28     -986.162337        0.0136
BFGS:   81 19:36:56     -986.153447        0.3330
BFGS:   82 19:50:33     -986.162279        0.0138
BFGS:   83 19:54:40     -986.162313        0.0175
BFGS:   84 20:11:07     -986.115132        0.8648
BFGS:   85 20:28:31     -986.162266        0.0301
BFGS:   86 20:33:35     -986.162305        0.0227
BFGS:   87 20:46:13     -986.161780        0.1338
BFGS:   88 20:56:02     -986.162312        0.0143
BFGS:   89 21:02:59     -986.162323        0.0085
