      Step     Time          Energy         fmax
BFGS:    0 21:40:07     -970.632426        0.6917
BFGS:    1 21:53:37     -970.662708        0.2918
BFGS:    2 22:08:57     -970.700440        0.4445
BFGS:    3 22:22:25     -970.729574        0.2895
BFGS:    4 22:34:01     -970.741399        0.1896
BFGS:    5 22:45:37     -970.752412        0.1995
BFGS:    6 22:59:05     -970.764781        0.2997
BFGS:    7 23:10:41     -970.777395        0.3114
BFGS:    8 23:21:19     -970.788138        0.2035
BFGS:    9 23:32:54     -970.800838        0.1358
BFGS:   10 23:43:33     -970.806422        0.1406
BFGS:   11 23:57:57     -970.815614        0.1852
BFGS:   12 00:08:36     -970.822381        0.1187
BFGS:   13 00:20:10     -970.830366        0.1290
BFGS:   14 00:33:37     -970.834243        0.1596
BFGS:   15 00:48:01     -970.838508        0.1461
BFGS:   16 00:58:41     -970.841207        0.0980
BFGS:   17 01:09:20     -970.845695        0.1047
BFGS:   18 01:19:59     -970.848778        0.1090
BFGS:   19 01:31:35     -970.853209        0.1040
BFGS:   20 01:42:14     -970.856337        0.0820
BFGS:   21 01:54:44     -970.860828        0.0848
BFGS:   22 02:06:19     -970.862535        0.0964
BFGS:   23 02:16:01     -970.864390        0.0739
BFGS:   24 02:25:43     -970.866154        0.0419
BFGS:   25 02:34:29     -970.867262        0.0486
BFGS:   26 02:45:08     -970.868432        0.0502
BFGS:   27 02:53:53     -970.869254        0.0578
BFGS:   28 03:03:36     -970.869883        0.0622
BFGS:   29 03:14:15     -970.870876        0.0694
BFGS:   30 03:23:01     -970.871456        0.0649
BFGS:   31 03:33:39     -970.872539        0.0562
BFGS:   32 03:42:25     -970.873295        0.0571
BFGS:   33 03:54:55     -970.872826        0.1334
BFGS:   34 04:06:31     -970.874855        0.0753
BFGS:   35 04:16:13     -970.875463        0.0621
BFGS:   36 04:25:00     -970.876515        0.0400
BFGS:   37 04:35:38     -970.877705        0.0366
BFGS:   38 04:44:25     -970.878304        0.0448
BFGS:   39 04:53:11     -970.879060        0.0560
BFGS:   40 05:00:06     -970.879647        0.0351
BFGS:   41 05:10:44     -970.880099        0.0475
BFGS:   42 05:17:39     -970.880455        0.0437
BFGS:   43 05:28:17     -970.881222        0.0339
BFGS:   44 05:37:03     -970.881546        0.0336
BFGS:   45 05:45:50     -970.882185        0.0310
BFGS:   46 05:56:30     -970.883145        0.0496
BFGS:   47 06:04:20     -970.883599        0.0452
BFGS:   48 06:16:52     -970.884329        0.0677
