      Step     Time          Energy         fmax
BFGS:    0 21:37:27     -955.424460        1.9375
BFGS:    1 21:56:56     -955.710426        1.2759
BFGS:    2 22:11:51     -955.848806        0.6566
BFGS:    3 22:24:57     -955.911209        0.6647
BFGS:    4 22:40:46     -955.984085        0.3192
BFGS:    5 22:53:53     -956.011196        0.2832
BFGS:    6 23:06:58     -956.040408        0.2917
BFGS:    7 23:20:59     -956.059133        0.2915
BFGS:    8 23:34:58     -956.080638        0.2003
BFGS:    9 23:46:14     -956.095022        0.2178
BFGS:   10 23:59:18     -956.108342        0.1735
BFGS:   11 00:14:11     -956.121759        0.2495
BFGS:   12 00:24:32     -956.130986        0.2036
BFGS:   13 00:37:38     -956.146200        0.1158
BFGS:   14 00:48:54     -956.153191        0.1713
BFGS:   15 00:59:15     -956.158278        0.1311
BFGS:   16 01:10:31     -956.165898        0.0995
BFGS:   17 01:19:03     -956.168725        0.1046
BFGS:   18 01:32:09     -956.173245        0.1133
BFGS:   19 01:44:20     -956.175653        0.1086
BFGS:   20 01:52:51     -956.177739        0.0877
BFGS:   21 02:02:17     -956.179878        0.0872
BFGS:   22 02:12:38     -956.181687        0.0728
BFGS:   23 02:23:00     -956.182923        0.0648
BFGS:   24 02:35:11     -956.184492        0.0617
BFGS:   25 02:45:32     -956.185363        0.0580
BFGS:   26 02:54:04     -956.186473        0.0449
BFGS:   27 03:01:42     -956.187202        0.0373
BFGS:   28 03:12:02     -956.187905        0.0325
BFGS:   29 03:19:40     -956.188272        0.0280
BFGS:   30 03:29:05     -956.188969        0.0215
BFGS:   31 03:39:26     -956.189302        0.0243
BFGS:   32 03:49:47     -956.189552        0.0227
BFGS:   33 03:56:30     -956.189762        0.0209
BFGS:   34 04:03:13     -956.189991        0.0211
BFGS:   35 04:14:29     -956.189173        0.0620
BFGS:   36 04:24:50     -956.190248        0.0267
BFGS:   37 04:31:33     -956.190400        0.0201
BFGS:   38 04:38:15     -956.190618        0.0189
BFGS:   39 04:47:42     -956.190883        0.0234
BFGS:   40 04:54:25     -956.191083        0.0222
BFGS:   41 05:08:24     -956.189987        0.0392
BFGS:   42 05:19:40     -956.191651        0.0279
BFGS:   43 05:27:17     -956.192048        0.0266
BFGS:   44 05:36:44     -956.192517        0.0197
BFGS:   45 05:43:27     -956.192713        0.0322
BFGS:   46 05:55:38     -956.192505        0.0537
BFGS:   47 06:05:58     -956.193283        0.0355
BFGS:   48 06:14:29     -956.193566        0.0255
BFGS:   49 06:23:02     -956.193987        0.0163
BFGS:   50 06:30:38     -956.194172        0.0174
      Step     Time          Energy         fmax
BFGS:    0 06:30:38     -956.194172        0.0174
BFGS:    1 06:34:37     -956.194209        0.0300
BFGS:    2 06:39:30     -956.194289        0.0292
BFGS:    3 06:49:51     -956.193898        0.0681
BFGS:    4 07:00:13     -956.194432        0.0215
BFGS:    5 07:05:06     -956.194512        0.0235
BFGS:    6 07:12:43     -956.194371        0.0342
BFGS:    7 07:19:26     -956.194540        0.0158
BFGS:    8 07:23:24     -956.194578        0.0229
BFGS:    9 07:30:06     -956.194526        0.0229
BFGS:   10 07:34:05     -956.194588        0.0239
BFGS:   11 07:40:47     -956.194640        0.0262
BFGS:   12 07:45:40     -956.194686        0.0256
BFGS:   13 08:06:01     -956.072002        2.7180
BFGS:   14 08:28:12     -956.191210        0.4157
BFGS:   15 08:40:21     -956.194784        0.0897
BFGS:   16 08:47:57     -956.195008        0.0603
BFGS:   17 08:54:40     -956.195170        0.0528
BFGS:   18 08:59:33     -956.195271        0.0293
BFGS:   19 09:07:11     -956.195212        0.0253
BFGS:   20 09:13:53     -956.195314        0.0177
BFGS:   21 09:21:31     -956.195388        0.0181
BFGS:   22 09:25:29     -956.195404        0.0180
BFGS:   23 09:29:28     -956.195413        0.0281
BFGS:   24 09:38:00     -956.195105        0.1302
BFGS:   25 09:46:32     -956.195447        0.0237
BFGS:   26 09:50:31     -956.195472        0.0270
BFGS:   27 10:06:20     -956.108529        0.9493
BFGS:   28 10:26:41     -956.195006        0.1116
BFGS:   29 10:36:07     -956.195461        0.0318
BFGS:   30 10:40:05     -956.195516        0.0242
BFGS:   31 10:53:11     -956.190023        0.5420
BFGS:   32 11:06:18     -956.195426        0.0923
BFGS:   33 11:14:50     -956.195600        0.0190
BFGS:   34 11:19:43     -956.195633        0.0254
BFGS:   35 11:37:24     -956.019149        1.5014
BFGS:   36 11:55:02     -956.195269        0.1044
BFGS:   37 12:00:50     -956.195549        0.0668
BFGS:   38 12:14:49     -956.057174        2.5475
BFGS:   39 12:37:01     -956.195255        0.1128
BFGS:   40 12:41:54     -956.195461        0.0849
BFGS:   41 13:02:18     -956.027339        3.7266
BFGS:   42 13:19:55     -956.194381        0.2661
BFGS:   43 13:29:21     -956.194953        0.0656
BFGS:   44 13:36:58     -956.195135        0.0419
BFGS:   45 13:45:29     -956.195270        0.0424
BFGS:   46 13:49:27     -956.195341        0.0367
BFGS:   47 13:57:59     -956.195284        0.1088
BFGS:   48 14:09:15     -956.195457        0.0296
BFGS:   49 14:13:14     -956.195502        0.0289
BFGS:   50 14:29:57     -956.170903        1.0693
BFGS:   51 14:49:22     -956.193761        0.3421
BFGS:   52 15:02:27     -956.195342        0.0746
BFGS:   53 15:07:20     -956.195471        0.0389
BFGS:   54 15:19:30     -956.192221        0.4971
BFGS:   55 15:31:39     -956.195580        0.0428
BFGS:   56 15:37:26     -956.195627        0.0447
BFGS:   57 15:53:15     -956.186261        0.7345
BFGS:   58 16:08:09     -956.195641        0.0326
BFGS:   59 16:12:08     -956.195680        0.0389
BFGS:   60 16:28:51     -956.058735        2.2280
BFGS:   61 16:50:05     -956.195553        0.0589
BFGS:   62 16:55:52     -956.195630        0.0591
BFGS:   63 17:04:24     -956.195462        0.0645
BFGS:   64 17:11:06     -956.195714        0.0296
BFGS:   65 17:15:04     -956.195733        0.0281
BFGS:   66 17:23:36     -956.194965        0.0846
BFGS:   67 17:32:07     -956.195762        0.0224
BFGS:   68 17:36:06     -956.195779        0.0211
BFGS:   69 17:42:48     -956.195724        0.0395
BFGS:   70 17:47:41     -956.195824        0.0265
BFGS:   71 18:04:25     -956.017638        1.6993
BFGS:   72 18:23:53     -956.195359        0.0772
BFGS:   73 18:31:30     -956.195677        0.0319
BFGS:   74 18:38:13     -956.195758        0.0215
BFGS:   75 18:42:12     -956.195772        0.0219
BFGS:   76 18:52:33     -956.190833        0.1917
BFGS:   77 19:02:56     -956.195751        0.0323
BFGS:   78 19:09:39     -956.195818        0.0181
BFGS:   79 19:12:42     -956.195832        0.0193
BFGS:   80 19:19:25     -956.195801        0.0409
BFGS:   81 19:24:18     -956.195874        0.0251
BFGS:   82 19:34:40     -956.195514        0.0681
BFGS:   83 19:45:01     -956.195868        0.0181
BFGS:   84 19:49:00     -956.195891        0.0209
BFGS:   85 19:56:37     -956.195879        0.0248
BFGS:   86 20:00:36     -956.195904        0.0231
BFGS:   87 20:18:15     -956.032810        2.0752
BFGS:   88 20:35:54     -956.195268        0.0949
BFGS:   89 20:44:27     -956.195696        0.0379
BFGS:   90 20:51:09     -956.195843        0.0319
BFGS:   91 20:58:47     -956.195891        0.0263
BFGS:   92 21:03:40     -956.195934        0.0270
BFGS:   93 21:19:28     -956.138838        0.9241
BFGS:   94 21:33:29     -956.195782        0.0480
BFGS:   95 21:38:22     -956.195869        0.0309
BFGS:   96 21:46:54     -956.195729        0.0588
BFGS:   97 21:51:47     -956.195919        0.0511
BFGS:   98 22:03:56     -956.192522        0.2002
BFGS:   99 22:15:12     -956.195962        0.0208
