      Step     Time          Energy         fmax
BFGS:    0 19:36:26     -955.865530        1.8299
BFGS:    1 19:52:12     -955.986741        1.1482
BFGS:    2 20:07:57     -956.074083        0.7371
BFGS:    3 20:22:48     -956.127182        0.8611
BFGS:    4 20:37:40     -956.188776        0.4607
BFGS:    5 20:51:35     -956.213758        0.2830
BFGS:    6 21:05:31     -956.235558        0.3295
BFGS:    7 21:17:40     -956.250556        0.3889
BFGS:    8 21:31:36     -956.266332        0.2901
BFGS:    9 21:42:50     -956.275807        0.1355
BFGS:   10 21:53:09     -956.283591        0.1208
BFGS:   11 22:03:28     -956.288450        0.1461
BFGS:   12 22:13:48     -956.292741        0.1113
BFGS:   13 22:26:49     -956.297643        0.1079
BFGS:   14 22:42:35     -956.301322        0.1180
BFGS:   15 22:50:10     -956.303743        0.0995
BFGS:   16 23:03:12     -956.309116        0.0729
BFGS:   17 23:14:25     -956.311168        0.0941
BFGS:   18 23:24:44     -956.313217        0.0748
BFGS:   19 23:37:46     -956.315240        0.0679
BFGS:   20 23:48:05     -956.315853        0.0494
BFGS:   21 23:54:46     -956.316485        0.0372
BFGS:   22 00:05:04     -956.317485        0.0321
BFGS:   23 00:12:39     -956.317882        0.0254
BFGS:   24 00:22:57     -956.318439        0.0215
BFGS:   25 00:33:15     -956.318770        0.0266
BFGS:   26 00:41:46     -956.318983        0.0259
BFGS:   27 00:49:22     -956.319232        0.0200
BFGS:   28 00:59:40     -956.319462        0.0201
BFGS:   29 01:06:21     -956.319585        0.0228
BFGS:   30 01:23:56     -956.295520        0.1883
BFGS:   31 01:38:47     -956.319814        0.0197
BFGS:   32 01:46:22     -956.319846        0.0228
BFGS:   33 01:53:58     -956.319929        0.0251
BFGS:   34 02:03:22     -956.320170        0.0350
BFGS:   35 02:20:01     -956.318674        0.0859
BFGS:   36 02:34:50     -956.320677        0.0590
BFGS:   37 02:45:08     -956.320921        0.0535
BFGS:   38 02:50:00     -956.321119        0.0724
BFGS:   39 03:03:03     -956.316745        0.1781
BFGS:   40 03:14:16     -956.321751        0.0363
BFGS:   41 03:20:57     -956.321932        0.0369
BFGS:   42 03:40:19     -956.310643        0.2417
BFGS:   43 03:55:11     -956.322499        0.1015
BFGS:   44 04:02:47     -956.322712        0.0412
BFGS:   45 04:11:17     -956.322988        0.1064
BFGS:   46 04:17:58     -956.323181        0.0692
BFGS:   47 04:32:49     -956.310868        0.9454
BFGS:   48 04:48:34     -956.323436        0.1088
BFGS:   49 04:55:15     -956.323546        0.0624
BFGS:   50 05:01:56     -956.323639        0.0212
BFGS:   51 05:09:32     -956.323761        0.0198
BFGS:   52 05:18:02     -956.324012        0.0441
BFGS:   53 05:26:33     -956.324144        0.0390
BFGS:   54 05:30:30     -956.324189        0.0290
BFGS:   55 05:39:01     -956.324075        0.1099
BFGS:   56 05:47:30     -956.324277        0.0119
BFGS:   57 05:53:17     -956.324305        0.0151
BFGS:   58 06:09:57     -956.319934        0.3232
BFGS:   59 06:24:49     -956.323207        0.3195
BFGS:   60 06:42:23     -956.324302        0.0959
BFGS:   61 06:49:58     -956.324419        0.0371
BFGS:   62 06:54:51     -956.324436        0.0235
BFGS:   63 07:10:37     -956.294840        1.3508
BFGS:   64 07:27:16     -956.324446        0.0129
BFGS:   65 07:31:13     -956.324471        0.0125
BFGS:   66 07:39:42     -956.324256        0.1226
BFGS:   67 07:48:13     -956.324477        0.0197
BFGS:   68 07:53:05     -956.324493        0.0114
BFGS:   69 08:12:27     -956.088480        2.7249
BFGS:   70 08:33:39     -956.323953        0.1101
BFGS:   71 08:41:15     -956.324262        0.0302
BFGS:   72 08:47:56     -956.324315        0.0229
BFGS:   73 09:07:20     -956.226125        1.0817
BFGS:   74 09:24:54     -956.324202        0.0652
BFGS:   75 09:32:29     -956.324244        0.0130
BFGS:   76 09:36:27     -956.324280        0.0214
BFGS:   77 09:43:08     -956.324304        0.0206
BFGS:   78 09:47:06     -956.324333        0.0260
BFGS:   79 09:53:47     -956.324351        0.0251
BFGS:   80 09:57:44     -956.324377        0.0171
BFGS:   81 10:04:25     -956.324337        0.0381
BFGS:   82 10:08:22     -956.324398        0.0268
BFGS:   83 10:24:08     -956.316717        0.7571
BFGS:   84 10:38:05     -956.324414        0.0214
BFGS:   85 10:43:52     -956.324430        0.0162
BFGS:   86 10:51:27     -956.324321        0.0373
BFGS:   87 10:58:08     -956.324432        0.0143
BFGS:   88 11:02:05     -956.324442        0.0162
BFGS:   89 11:08:47     -956.324285        0.0546
BFGS:   90 11:14:33     -956.324443        0.0088
