      Step     Time          Energy         fmax
BFGS:    0 00:55:18     -955.842944        1.6529
BFGS:    1 01:11:46     -955.922219        0.9852
BFGS:    2 01:29:20     -955.993969        0.9552
BFGS:    3 01:46:53     -956.033477        0.8823
BFGS:    4 02:05:41     -956.074628        0.3163
BFGS:    5 02:18:42     -956.086404        0.1625
BFGS:    6 02:31:47     -956.099154        0.2992
BFGS:    7 02:44:46     -956.110013        0.3427
BFGS:    8 02:58:56     -956.122907        0.2553
BFGS:    9 03:13:14     -956.133054        0.1559
BFGS:   10 03:27:27     -956.143113        0.1993
BFGS:   11 03:40:26     -956.149688        0.1802
BFGS:   12 03:56:50     -956.162544        0.1847
BFGS:   13 04:09:49     -956.168197        0.1316
BFGS:   14 04:26:17     -956.175550        0.2049
BFGS:   15 04:39:15     -956.179275        0.1798
BFGS:   16 04:53:21     -956.184482        0.0774
BFGS:   17 05:05:11     -956.186323        0.0595
BFGS:   18 05:19:17     -956.189008        0.0754
BFGS:   19 05:32:20     -956.190118        0.0513
BFGS:   20 05:43:02     -956.191559        0.0407
BFGS:   21 05:53:44     -956.192614        0.0340
BFGS:   22 06:04:27     -956.193553        0.0306
BFGS:   23 06:14:01     -956.194028        0.0265
BFGS:   24 06:30:30     -956.193681        0.0521
BFGS:   25 06:43:39     -956.194850        0.0278
BFGS:   26 06:53:17     -956.195052        0.0210
BFGS:   27 07:01:43     -956.195291        0.0196
BFGS:   28 07:18:12     -956.194905        0.0344
BFGS:   29 07:31:09     -956.195756        0.0248
BFGS:   30 07:37:23     -956.195900        0.0268
BFGS:   31 07:59:32     -956.122088        0.4793
BFGS:   32 08:19:22     -956.196164        0.0197
BFGS:   33 08:30:04     -956.196199        0.0232
BFGS:   34 08:38:40     -956.196295        0.0173
BFGS:   35 08:47:05     -956.196401        0.0205
BFGS:   36 09:04:43     -956.186118        0.0790
BFGS:   37 09:23:22     -956.196500        0.0324
BFGS:   38 09:31:47     -956.196585        0.0151
