      Step     Time          Energy         fmax
BFGS:    0 18:13:26     -662.914355        4.1151
BFGS:    1 18:15:58     -664.222551        3.3775
BFGS:    2 18:18:38     -665.139189        2.4671
BFGS:    3 18:21:09     -665.773296        1.3768
BFGS:    4 18:23:41     -666.163034        0.7353
BFGS:    5 18:26:13     -666.352728        0.8539
BFGS:    6 18:28:44     -666.514192        0.8478
BFGS:    7 18:31:16     -666.689695        0.5437
BFGS:    8 18:33:55     -666.767590        0.3997
BFGS:    9 18:36:11     -666.826109        0.4569
BFGS:   10 18:38:50     -666.893816        0.5504
BFGS:   11 18:41:06     -666.946903        0.4389
BFGS:   12 18:43:13     -666.989239        0.2831
BFGS:   13 18:45:20     -667.009629        0.2804
BFGS:   14 18:47:19     -667.033628        0.2549
BFGS:   15 18:49:26     -667.047716        0.1923
BFGS:   16 18:51:41     -667.057380        0.1361
BFGS:   17 18:53:57     -667.064503        0.1200
BFGS:   18 18:55:56     -667.070560        0.1431
BFGS:   19 18:57:30     -667.075860        0.1139
BFGS:   20 18:59:13     -667.080150        0.0952
BFGS:   21 19:01:03     -667.082778        0.1039
BFGS:   22 19:03:02     -667.086976        0.1344
BFGS:   23 19:04:37     -667.089353        0.1033
BFGS:   24 19:06:36     -667.092843        0.0746
BFGS:   25 19:08:10     -667.094345        0.0637
BFGS:   26 19:09:53     -667.097054        0.0737
BFGS:   27 19:11:27     -667.098839        0.0690
BFGS:   28 19:13:02     -667.100612        0.0787
BFGS:   29 19:14:20     -667.101477        0.0642
BFGS:   30 19:15:55     -667.102468        0.0431
BFGS:   31 19:17:29     -667.103100        0.0420
BFGS:   32 19:18:47     -667.103699        0.0518
BFGS:   33 19:20:05     -667.104250        0.0395
BFGS:   34 19:21:40     -667.104738        0.0288
BFGS:   35 19:23:14     -667.105160        0.0298
BFGS:   36 19:24:16     -667.105402        0.0293
BFGS:   37 19:25:34     -667.105837        0.0286
BFGS:   38 19:26:52     -667.106085        0.0228
BFGS:   39 19:28:11     -667.106363        0.0218
BFGS:   40 19:29:29     -667.106652        0.0260
BFGS:   41 19:30:39     -667.106851        0.0214
BFGS:   42 19:32:54     -667.105777        0.0726
BFGS:   43 19:34:36     -667.107333        0.0460
BFGS:   44 19:35:54     -667.107442        0.0285
BFGS:   45 19:37:04     -667.107646        0.0253
BFGS:   46 19:38:39     -667.107880        0.0217
BFGS:   47 19:39:41     -667.107987        0.0227
BFGS:   48 19:42:04     -667.105899        0.1225
BFGS:   49 19:44:18     -667.108587        0.0363
BFGS:   50 19:45:28     -667.108777        0.0425
BFGS:   51 19:47:27     -667.109518        0.0524
BFGS:   52 19:48:37     -667.109820        0.0474
BFGS:   53 19:50:11     -667.110280        0.0479
BFGS:   54 19:51:13     -667.110578        0.0387
BFGS:   55 19:52:48     -667.111103        0.0709
BFGS:   56 19:53:58     -667.111400        0.0493
BFGS:   57 19:55:32     -667.111972        0.0359
BFGS:   58 19:56:42     -667.112175        0.0298
BFGS:   59 19:58:16     -667.112555        0.0273
BFGS:   60 19:59:18     -667.112751        0.0276
BFGS:   61 20:01:01     -667.112594        0.0693
BFGS:   62 20:02:35     -667.113260        0.0243
BFGS:   63 20:03:37     -667.113361        0.0228
BFGS:   64 20:05:12     -667.113512        0.0200
BFGS:   65 20:06:38     -667.113690        0.0205
BFGS:   66 20:07:40     -667.113779        0.0155
BFGS:   67 20:09:14     -667.113603        0.0282
BFGS:   68 20:10:32     -667.113876        0.0120
BFGS:   69 20:11:34     -667.113904        0.0093
