      Step     Time          Energy         fmax
BFGS:    0 12:58:36     -665.694876        7.5508
BFGS:    1 13:05:21     -666.151269        5.5379
BFGS:    2 13:12:06     -666.503788        3.8430
BFGS:    3 13:19:55     -666.745380        1.8775
BFGS:    4 13:26:57     -666.874289        0.7267
BFGS:    5 13:32:52     -666.916511        0.7046
BFGS:    6 13:38:49     -666.963148        0.8104
BFGS:    7 13:44:23     -666.989498        0.7025
BFGS:    8 13:49:57     -667.016579        0.3831
BFGS:    9 13:56:19     -667.031437        0.3217
BFGS:   10 14:01:12     -667.039147        0.2516
