      Step     Time          Energy         fmax
BFGS:    0 12:40:54     -665.694876        7.5508
BFGS:    1 12:47:39     -666.151269        5.5379
BFGS:    2 12:54:24     -666.503788        3.8430
BFGS:    3 13:02:13     -666.745380        1.8775
BFGS:    4 13:09:18     -666.874289        0.7267
BFGS:    5 13:15:18     -666.916511        0.7046
BFGS:    6 13:21:19     -666.963148        0.8104
BFGS:    7 13:26:59     -666.989498        0.7025
BFGS:    8 13:32:38     -667.016579        0.3831
BFGS:    9 13:39:01     -667.031437        0.3217
BFGS:   10 13:43:58     -667.039147        0.2516
BFGS:   11 13:48:32     -667.045437        0.1730
BFGS:   12 13:53:50     -667.049507        0.2039
BFGS:   13 13:58:03     -667.053053        0.2244
BFGS:   14 14:02:37     -667.055965        0.1341
