      Step     Time          Energy         fmax
BFGS:    0 18:26:20     -663.057145        4.1115
BFGS:    1 18:29:17     -664.347947        3.3676
BFGS:    2 18:31:50     -665.246781        2.4691
BFGS:    3 18:34:47     -665.863417        1.3704
BFGS:    4 18:37:20     -666.236309        0.7280
BFGS:    5 18:40:01     -666.412771        0.8282
BFGS:    6 18:42:42     -666.569564        0.8231
BFGS:    7 18:45:32     -666.735256        0.5297
BFGS:    8 18:48:05     -666.803702        0.3830
BFGS:    9 18:50:29     -666.861036        0.4434
BFGS:   10 18:53:03     -666.919055        0.5330
BFGS:   11 18:55:11     -666.971804        0.3957
BFGS:   12 18:57:19     -667.002624        0.2295
BFGS:   13 18:59:27     -667.022590        0.2601
BFGS:   14 19:01:11     -667.039837        0.2334
BFGS:   15 19:03:11     -667.052994        0.1514
BFGS:   16 19:05:36     -667.062320        0.1316
BFGS:   17 19:07:12     -667.066858        0.1215
BFGS:   18 19:09:28     -667.077019        0.1237
BFGS:   19 19:11:04     -667.080887        0.1039
BFGS:   20 19:12:39     -667.084965        0.0960
BFGS:   21 19:14:31     -667.087841        0.1127
BFGS:   22 19:16:06     -667.090738        0.0985
BFGS:   23 19:17:42     -667.092945        0.0741
BFGS:   24 19:19:17     -667.095067        0.0638
BFGS:   25 19:20:36     -667.096523        0.0632
BFGS:   26 19:22:11     -667.098692        0.0647
BFGS:   27 19:24:28     -667.100317        0.1156
BFGS:   28 19:26:03     -667.102424        0.0851
BFGS:   29 19:27:38     -667.104337        0.0613
BFGS:   30 19:29:13     -667.105691        0.0599
BFGS:   31 19:30:49     -667.107174        0.0546
BFGS:   32 19:32:07     -667.108032        0.0563
BFGS:   33 19:33:43     -667.109261        0.0481
BFGS:   34 19:35:18     -667.110022        0.0497
BFGS:   35 19:36:45     -667.110500        0.0381
BFGS:   36 19:38:04     -667.111024        0.0328
BFGS:   37 19:39:23     -667.111257        0.0243
BFGS:   38 19:40:41     -667.111522        0.0254
BFGS:   39 19:41:44     -667.111665        0.0178
BFGS:   40 19:43:27     -667.111478        0.0542
BFGS:   41 19:45:02     -667.111904        0.0173
BFGS:   42 19:46:04     -667.111971        0.0173
BFGS:   43 19:47:23     -667.112203        0.0157
BFGS:   44 19:48:34     -667.112321        0.0193
BFGS:   45 19:49:53     -667.112451        0.0196
BFGS:   46 19:50:30     -667.112507        0.0286
BFGS:   47 19:52:06     -667.112515        0.0382
BFGS:   48 19:53:16     -667.112709        0.0260
BFGS:   49 19:54:18     -667.112791        0.0258
BFGS:   50 19:56:26     -667.106463        0.1122
BFGS:   51 19:58:42     -667.112997        0.0158
BFGS:   52 19:59:45     -667.113067        0.0165
BFGS:   53 20:01:04     -667.113187        0.0101
BFGS:   54 20:01:41     -667.113215        0.0237
BFGS:   55 20:02:52     -667.113175        0.0221
BFGS:   56 20:04:02     -667.113252        0.0128
BFGS:   57 20:05:05     -667.113287        0.0168
BFGS:   58 20:06:15     -667.113266        0.0207
BFGS:   59 20:07:18     -667.113312        0.0212
BFGS:   60 20:08:37     -667.113305        0.0206
BFGS:   61 20:09:39     -667.113384        0.0227
BFGS:   62 20:10:41     -667.113431        0.0339
BFGS:   63 20:11:52     -667.113553        0.0232
BFGS:   64 20:12:54     -667.113628        0.0235
BFGS:   65 20:14:29     -667.113605        0.0269
      Step     Time          Energy         fmax
BFGS:    0 20:14:29     -667.113605        0.0269
BFGS:    1 20:15:15     -667.113671        0.0345
BFGS:    2 20:18:03     -666.888197        3.7381
BFGS:    3 20:21:08     -667.113723        0.0558
BFGS:    4 20:21:54     -667.113767        0.0391
BFGS:    5 20:23:12     -667.113487        0.1115
BFGS:    6 20:24:23     -667.113800        0.0193
BFGS:    7 20:25:01     -667.113838        0.0249
BFGS:    8 20:26:19     -667.113677        0.1297
BFGS:    9 20:27:05     -667.113884        0.0861
BFGS:   10 20:30:18     -666.871097        3.2978
BFGS:   11 20:33:22     -667.113742        0.0798
BFGS:   12 20:35:46     -667.113894        0.0290
BFGS:   13 20:36:24     -667.113903        0.0342
BFGS:   14 20:38:56     -667.027267        1.6152
BFGS:   15 20:41:28     -667.113934        0.0348
BFGS:   16 20:42:14     -667.113939        0.0352
BFGS:   17 20:44:37     -667.065288        1.3101
BFGS:   18 20:47:18     -667.113579        0.1669
BFGS:   19 20:48:28     -667.113838        0.0426
BFGS:   20 20:49:06     -667.113887        0.0289
BFGS:   21 20:50:16     -667.113922        0.0368
BFGS:   22 20:50:54     -667.113961        0.0362
BFGS:   23 20:52:21     -667.113338        0.1945
BFGS:   24 20:53:39     -667.113985        0.0413
BFGS:   25 20:54:33     -667.114002        0.0239
BFGS:   26 20:55:11     -667.114005        0.0272
BFGS:   27 20:56:13     -667.113942        0.0682
BFGS:   28 20:56:51     -667.114012        0.0612
BFGS:   29 20:58:34     -667.112033        0.3027
BFGS:   30 21:00:09     -667.114011        0.0133
BFGS:   31 21:00:55     -667.114031        0.0159
BFGS:   32 21:03:43     -666.936703        1.9629
BFGS:   33 21:06:39     -667.113791        0.0475
BFGS:   34 21:07:41     -667.113914        0.0148
BFGS:   35 21:08:27     -667.113929        0.0167
BFGS:   36 21:10:35     -667.090536        0.8999
BFGS:   37 21:12:42     -667.114015        0.0194
BFGS:   38 21:13:20     -667.114024        0.0136
BFGS:   39 21:15:19     -667.108660        0.2690
BFGS:   40 21:17:19     -667.114035        0.0222
BFGS:   41 21:17:56     -667.114043        0.0141
BFGS:   42 21:19:07     -667.113962        0.0728
BFGS:   43 21:20:09     -667.114048        0.0175
BFGS:   44 21:20:47     -667.114052        0.0117
BFGS:   45 21:21:49     -667.113953        0.0651
BFGS:   46 21:22:27     -667.114056        0.0652
BFGS:   47 21:23:37     -667.113833        0.1065
BFGS:   48 21:24:15     -667.114033        0.1061
BFGS:   49 21:25:42     -667.113336        0.2052
BFGS:   50 21:27:17     -667.114044        0.0194
BFGS:   51 21:27:54     -667.114061        0.0259
BFGS:   52 21:28:32     -667.114025        0.0330
BFGS:   53 21:29:18     -667.114046        0.0515
BFGS:   54 21:31:58     -666.810934        2.2846
BFGS:   55 21:34:30     -667.113755        0.0863
BFGS:   56 21:35:32     -667.113900        0.0432
BFGS:   57 21:36:34     -667.113943        0.0298
BFGS:   58 21:37:12     -667.113984        0.0323
BFGS:   59 21:38:22     -667.113885        0.0315
BFGS:   60 21:39:24     -667.113996        0.0187
BFGS:   61 21:40:35     -667.114007        0.0193
BFGS:   62 21:41:12     -667.114032        0.0290
