      Step     Time          Energy         fmax
BFGS:    0 11:29:38     -858.856645        3.1420
BFGS:    1 11:35:45     -859.092759        2.3937
BFGS:    2 11:42:15     -859.250113        1.8231
BFGS:    3 11:48:23     -859.355620        1.2104
BFGS:    4 11:54:08     -859.425204        0.6087
BFGS:    5 11:59:55     -859.474200        0.6648
BFGS:    6 12:06:25     -859.516079        0.6426
BFGS:    7 12:13:17     -859.551418        0.4225
BFGS:    8 12:19:02     -859.571549        0.2577
BFGS:    9 12:24:26     -859.586215        0.2752
BFGS:   10 12:29:06     -859.598980        0.2526
BFGS:   11 12:35:36     -859.613293        0.2231
BFGS:   12 12:40:36     -859.620455        0.1321
BFGS:   13 12:46:00     -859.628589        0.1999
BFGS:   14 12:49:55     -859.632655        0.1750
BFGS:   15 12:54:35     -859.635933        0.1176
BFGS:   16 12:59:14     -859.639069        0.1211
BFGS:   17 13:04:38     -859.642029        0.1542
BFGS:   18 13:08:33     -859.643868        0.1171
BFGS:   19 13:13:35     -859.647889        0.0968
BFGS:   20 13:17:30     -859.649326        0.0991
BFGS:   21 13:21:25     -859.651701        0.1311
BFGS:   22 13:26:27     -859.654028        0.0924
BFGS:   23 13:30:45     -859.655688        0.0917
BFGS:   24 13:35:46     -859.657767        0.0982
BFGS:   25 13:40:26     -859.658999        0.1063
BFGS:   26 13:44:44     -859.660800        0.0852
BFGS:   27 13:49:23     -859.662475        0.1029
BFGS:   28 13:54:03     -859.663928        0.0879
BFGS:   29 13:57:37     -859.665225        0.0915
BFGS:   30 14:03:02     -859.667488        0.0828
BFGS:   31 14:06:58     -859.668442        0.0689
BFGS:   32 14:12:21     -859.670299        0.0759
BFGS:   33 14:17:45     -859.671260        0.0691
BFGS:   34 14:21:18     -859.671958        0.1287
BFGS:   35 14:25:58     -859.673470        0.1311
BFGS:   36 14:29:54     -859.674384        0.0557
BFGS:   37 14:34:56     -859.675512        0.1284
BFGS:   38 14:39:36     -859.676217        0.0689
BFGS:   39 14:43:32     -859.676948        0.0914
BFGS:   40 14:48:33     -859.677073        0.0821
BFGS:   41 14:51:45     -859.677432        0.0388
BFGS:   42 14:57:09     -859.677162        0.2511
BFGS:   43 15:01:49     -859.678091        0.0736
BFGS:   44 15:05:00     -859.678193        0.0247
BFGS:   45 15:08:56     -859.678472        0.0287
BFGS:   46 15:12:52     -859.678751        0.0432
BFGS:   47 15:17:32     -859.678921        0.0751
BFGS:   48 15:22:11     -859.678559        0.1219
BFGS:   49 15:26:06     -859.679150        0.0735
BFGS:   50 15:31:09     -859.679320        0.0905
BFGS:   51 15:36:11     -859.679597        0.0594
BFGS:   52 15:38:38     -859.679658        0.0808
BFGS:   53 15:42:11     -859.679821        0.0317
BFGS:   54 15:45:01     -859.679841        0.0216
BFGS:   55 15:52:15     -859.619408        0.9659
BFGS:   56 15:59:31     -859.679732        0.0318
BFGS:   57 16:03:04     -859.679819        0.0158
BFGS:   58 16:04:25     -859.679792        0.0209
BFGS:   59 16:07:37     -859.679771        0.0361
BFGS:   60 16:09:42     -859.679808        0.0313
BFGS:   61 16:12:53     -859.679890        0.0393
BFGS:   62 16:14:58     -859.679953        0.0382
BFGS:   63 16:18:10     -859.679997        0.0167
BFGS:   64 16:20:15     -859.680074        0.0243
BFGS:   65 16:22:42     -859.680121        0.0367
BFGS:   66 16:27:23     -859.679421        0.1029
BFGS:   67 16:31:41     -859.680155        0.0408
BFGS:   68 16:35:14     -859.680153        0.0120
BFGS:   69 16:36:35     -859.680136        0.0176
BFGS:   70 16:39:24     -859.680103        0.0426
BFGS:   71 16:42:14     -859.680175        0.0402
BFGS:   72 16:45:03     -859.680254        0.0303
BFGS:   73 16:47:08     -859.680243        0.0439
BFGS:   74 16:50:41     -859.680256        0.0429
BFGS:   75 16:52:47     -859.680308        0.0365
BFGS:   76 16:59:38     -859.586961        1.6323
BFGS:   77 17:06:52     -859.680027        0.0733
BFGS:   78 17:10:04     -859.680194        0.0397
BFGS:   79 17:11:25     -859.680239        0.0480
BFGS:   80 17:16:26     -859.665804        0.7918
BFGS:   81 17:22:12     -859.680317        0.0262
BFGS:   82 17:24:18     -859.680315        0.0394
BFGS:   83 17:25:39     -859.680279        0.0308
BFGS:   84 17:28:06     -859.680149        0.0459
BFGS:   85 17:30:33     -859.680196        0.0303
BFGS:   86 17:36:42     -859.665310        0.7106
BFGS:   87 17:42:50     -859.680191        0.0186
BFGS:   88 17:44:11     -859.680208        0.0269
BFGS:   89 17:47:00     -859.680220        0.0149
BFGS:   90 17:48:21     -859.680314        0.0156
BFGS:   91 17:54:29     -859.667769        0.5761
BFGS:   92 18:01:20     -859.680239        0.0180
BFGS:   93 18:02:40     -859.680280        0.0234
BFGS:   94 18:06:14     -859.679711        0.1134
BFGS:   95 18:10:09     -859.680204        0.0189
BFGS:   96 18:12:14     -859.680193        0.0136
BFGS:   97 18:15:47     -859.680149        0.0784
BFGS:   98 18:19:20     -859.680240        0.0193
BFGS:   99 18:21:26     -859.680280        0.0203
      Step     Time          Energy         fmax
BFGS:    0 18:24:58     -859.680104        0.0690
BFGS:    1 18:28:09     -859.680166        0.0315
BFGS:    2 18:29:30     -859.680153        0.0569
BFGS:    3 18:32:19     -859.680066        0.0561
BFGS:    4 18:35:08     -859.680163        0.0257
BFGS:    5 18:37:36     -859.680217        0.0147
BFGS:    6 18:39:18     -859.680275        0.0316
BFGS:    7 18:43:13     -859.680169        0.0692
BFGS:    8 18:46:24     -859.680310        0.0116
BFGS:    9 18:47:44     -859.680220        0.0168
BFGS:   10 18:54:58     -859.620705        1.6518
BFGS:   11 19:01:49     -859.679318        0.2075
BFGS:   12 19:05:22     -859.680004        0.0625
BFGS:   13 19:08:10     -859.680075        0.0526
BFGS:   14 19:11:00     -859.680155        0.0454
BFGS:   15 19:14:11     -859.680237        0.0219
BFGS:   16 19:16:16     -859.680243        0.0218
BFGS:   17 19:20:33     -859.679462        0.0783
BFGS:   18 19:24:06     -859.680235        0.0202
BFGS:   19 19:26:11     -859.680240        0.0190
BFGS:   20 19:32:18     -859.671151        0.3269
BFGS:   21 19:38:03     -859.680258        0.0231
BFGS:   22 19:40:30     -859.680221        0.0136
BFGS:   23 19:42:35     -859.680230        0.0175
BFGS:   24 19:43:56     -859.680264        0.0173
BFGS:   25 19:50:25     -859.650655        0.5856
BFGS:   26 19:56:11     -859.680204        0.0199
BFGS:   27 19:57:32     -859.680307        0.0286
BFGS:   28 20:02:55     -859.676006        0.2188
BFGS:   29 20:08:18     -859.680218        0.0171
BFGS:   30 20:10:23     -859.680251        0.0158
BFGS:   31 20:16:10     -859.666794        0.4362
BFGS:   32 20:21:33     -859.680266        0.0430
BFGS:   33 20:23:38     -859.680300        0.0318
BFGS:   34 20:27:33     -859.679632        0.1268
BFGS:   35 20:31:29     -859.680306        0.0160
BFGS:   36 20:33:34     -859.680343        0.0172
BFGS:   37 20:37:29     -859.679619        0.0992
BFGS:   38 20:41:47     -859.680309        0.0222
BFGS:   39 20:44:14     -859.680304        0.0169
BFGS:   40 20:46:19     -859.680286        0.0122
BFGS:   41 20:47:40     -859.680254        0.0150
BFGS:   42 20:54:32     -859.661178        0.3881
BFGS:   43 21:00:18     -859.680289        0.0337
BFGS:   44 21:02:23     -859.680305        0.0372
BFGS:   45 21:04:50     -859.680317        0.0346
BFGS:   46 21:06:56     -859.680313        0.0399
BFGS:   47 21:09:23     -859.680132        0.0439
BFGS:   48 21:10:44     -859.680364        0.0860
BFGS:   49 21:17:14     -859.614477        1.8356
BFGS:   50 21:24:08     -859.679315        0.1537
BFGS:   51 21:27:41     -859.679943        0.0415
BFGS:   52 21:30:31     -859.679971        0.0288
BFGS:   53 21:33:20     -859.679961        0.0526
BFGS:   54 21:34:41     -859.680038        0.0475
BFGS:   55 21:39:21     -859.677889        0.2814
BFGS:   56 21:43:17     -859.680027        0.0249
BFGS:   57 21:45:22     -859.680085        0.0255
BFGS:   58 21:49:18     -859.679516        0.0922
BFGS:   59 21:53:13     -859.680147        0.0230
BFGS:   60 21:55:18     -859.680138        0.0160
BFGS:   61 22:01:26     -859.661300        0.4381
BFGS:   62 22:07:34     -859.680152        0.0343
BFGS:   63 22:08:55     -859.680332        0.0376
BFGS:   64 22:14:41     -859.659840        0.7812
BFGS:   65 22:21:10     -859.679138        0.1364
BFGS:   66 22:24:44     -859.679650        0.0475
BFGS:   67 22:26:49     -859.679797        0.0448
BFGS:   68 22:31:29     -859.679257        0.1310
BFGS:   69 22:35:24     -859.679972        0.0326
BFGS:   70 22:36:46     -859.680052        0.0360
BFGS:   71 22:39:35     -859.679975        0.0452
BFGS:   72 22:40:56     -859.680061        0.0540
BFGS:   73 22:45:14     -859.678114        0.2952
BFGS:   74 22:49:54     -859.679963        0.0237
BFGS:   75 22:52:44     -859.680076        0.0159
BFGS:   76 22:55:33     -859.680176        0.0309
BFGS:   77 22:56:54     -859.680257        0.0456
BFGS:   78 23:03:04     -859.662858        0.7223
BFGS:   79 23:09:33     -859.680224        0.0200
BFGS:   80 23:10:54     -859.680207        0.0253
BFGS:   81 23:16:18     -859.674653        0.3016
BFGS:   82 23:21:20     -859.680231        0.0144
BFGS:   83 23:22:41     -859.680152        0.0201
BFGS:   84 23:30:19     -859.637872        1.0077
BFGS:   85 23:37:11     -859.680070        0.0423
BFGS:   86 23:39:38     -859.680231        0.0339
BFGS:   87 23:43:12     -859.679629        0.0854
BFGS:   88 23:46:46     -859.680274        0.0205
BFGS:   89 23:48:07     -859.680239        0.0223
BFGS:   90 23:50:57     -859.680262        0.0133
BFGS:   91 23:52:18     -859.680238        0.0197
BFGS:   92 23:56:36     -859.678826        0.1982
BFGS:   93 00:00:32     -859.680272        0.0142
BFGS:   94 00:01:53     -859.680283        0.0206
BFGS:   95 00:04:42     -859.680251        0.0326
BFGS:   96 00:06:48     -859.680243        0.0268
BFGS:   97 00:09:37     -859.680164        0.0252
BFGS:   98 00:10:58     -859.680240        0.0442
BFGS:   99 00:14:10     -859.680320        0.0287
      Step     Time          Energy         fmax
BFGS:    0 00:15:31     -859.680213        0.0329
BFGS:    1 00:18:20     -859.680220        0.0259
BFGS:    2 00:19:42     -859.680214        0.0424
BFGS:    3 00:25:27     -859.657113        0.8574
BFGS:    4 00:30:52     -859.680178        0.0419
BFGS:    5 00:32:57     -859.680252        0.0384
BFGS:    6 00:36:31     -859.679991        0.0974
BFGS:    7 00:39:42     -859.680197        0.0312
BFGS:    8 00:41:47     -859.680185        0.0151
BFGS:    9 00:43:52     -859.680176        0.0284
BFGS:   10 00:45:35     -859.680242        0.0532
BFGS:   11 00:53:34     -859.466697        2.2906
BFGS:   12 01:01:10     -859.680198        0.0514
BFGS:   13 01:02:31     -859.680279        0.0480
BFGS:   14 01:09:45     -859.509469        3.5251
BFGS:   15 01:17:21     -859.680138        0.0342
BFGS:   16 01:18:42     -859.680219        0.0397
BFGS:   17 01:26:18     -859.440212        4.0051
BFGS:   18 01:34:17     -859.679668        0.0992
BFGS:   19 01:37:50     -859.679824        0.0369
BFGS:   20 01:39:56     -859.679908        0.0349
BFGS:   21 01:43:07     -859.679970        0.0668
BFGS:   22 01:45:12     -859.680050        0.0434
BFGS:   23 01:49:52     -859.676318        0.2915
BFGS:   24 01:54:54     -859.680034        0.0415
BFGS:   25 01:56:15     -859.680005        0.0438
BFGS:   26 01:58:42     -859.680054        0.0448
BFGS:   27 02:00:25     -859.680080        0.0456
BFGS:   28 02:05:05     -859.678974        0.2586
BFGS:   29 02:09:44     -859.680130        0.0307
BFGS:   30 02:11:05     -859.680205        0.0284
BFGS:   31 02:18:42     -859.599855        1.7636
BFGS:   32 02:25:33     -859.680074        0.0449
BFGS:   33 02:28:45     -859.680066        0.0280
