      Step     Time          Energy         fmax
BFGS:    0 22:12:52     -854.817277        4.6659
BFGS:    1 22:19:20     -855.867630        3.8949
BFGS:    2 22:24:17     -856.519720        3.0092
BFGS:    3 22:29:15     -856.987916        2.0295
BFGS:    4 22:34:12     -857.346622        1.3428
BFGS:    5 22:38:53     -857.617955        1.2836
BFGS:    6 22:43:20     -857.790068        1.2884
BFGS:    7 22:48:02     -857.928745        1.3243
BFGS:    8 22:52:28     -858.053249        1.3917
BFGS:    9 22:57:10     -858.171785        1.4910
BFGS:   10 23:01:21     -858.285684        1.5773
BFGS:   11 23:05:33     -858.397772        1.6571
BFGS:   12 23:09:45     -858.505937        1.6898
BFGS:   13 23:13:56     -858.611532        1.6742
BFGS:   14 23:18:08     -858.713219        1.5811
BFGS:   15 23:22:19     -858.812060        1.4153
BFGS:   16 23:26:30     -858.906777        1.1697
BFGS:   17 23:30:41     -858.995425        0.9994
BFGS:   18 23:34:38     -859.079634        0.7772
BFGS:   19 23:39:04     -859.170223        0.6747
BFGS:   20 23:43:15     -859.244090        0.7380
BFGS:   21 23:47:26     -859.308458        0.7915
BFGS:   22 23:51:37     -859.365077        0.5353
BFGS:   23 23:55:48     -859.404423        0.3159
BFGS:   24 23:59:29     -859.422183        0.2587
BFGS:   25 00:02:54     -859.433188        0.2015
BFGS:   26 00:06:20     -859.440046        0.1179
BFGS:   27 00:09:45     -859.444667        0.1693
BFGS:   28 00:12:40     -859.447828        0.1548
BFGS:   29 00:16:06     -859.453569        0.1071
BFGS:   30 00:18:32     -859.456032        0.0813
BFGS:   31 00:22:42     -859.458464        0.1743
BFGS:   32 00:25:53     -859.460875        0.0892
BFGS:   33 00:28:33     -859.462737        0.0590
BFGS:   34 00:31:43     -859.464968        0.0685
BFGS:   35 00:34:39     -859.466665        0.0748
BFGS:   36 00:37:50     -859.468986        0.0545
BFGS:   37 00:40:15     -859.470137        0.0520
BFGS:   38 00:44:41     -859.468550        0.1921
BFGS:   39 00:48:36     -859.473493        0.0663
BFGS:   40 00:51:02     -859.474158        0.0592
BFGS:   41 00:54:42     -859.476684        0.0627
BFGS:   42 00:57:08     -859.477133        0.0433
BFGS:   43 00:59:48     -859.478129        0.0408
BFGS:   44 01:02:29     -859.478947        0.0410
BFGS:   45 01:05:24     -859.479939        0.0374
BFGS:   46 01:07:34     -859.480119        0.0260
BFGS:   47 01:10:30     -859.479970        0.0794
BFGS:   48 01:13:26     -859.480694        0.0253
BFGS:   49 01:14:51     -859.480820        0.0489
BFGS:   50 01:17:16     -859.480896        0.0342
BFGS:   51 01:19:11     -859.481028        0.0255
BFGS:   52 01:21:51     -859.481102        0.0588
BFGS:   53 01:23:47     -859.481307        0.0306
BFGS:   54 01:26:27     -859.481612        0.0284
BFGS:   55 01:28:52     -859.481775        0.0358
BFGS:   56 01:31:33     -859.482098        0.0499
BFGS:   57 01:33:13     -859.482161        0.0786
BFGS:   58 01:37:53     -859.443927        0.5901
BFGS:   59 01:41:50     -859.482555        0.0820
BFGS:   60 01:44:15     -859.482575        0.0545
BFGS:   61 01:46:55     -859.483022        0.0573
BFGS:   62 01:49:36     -859.483343        0.0398
BFGS:   63 01:51:31     -859.483556        0.0543
BFGS:   64 01:53:56     -859.483834        0.0497
BFGS:   65 01:56:06     -859.483998        0.0432
BFGS:   66 01:58:32     -859.483959        0.0461
BFGS:   67 02:00:42     -859.484191        0.0288
BFGS:   68 02:03:07     -859.484394        0.0286
BFGS:   69 02:05:02     -859.484456        0.0267
BFGS:   70 02:08:28     -859.480936        0.1237
BFGS:   71 02:11:38     -859.484527        0.0385
BFGS:   72 02:13:34     -859.484471        0.0252
BFGS:   73 02:15:29     -859.484540        0.0287
BFGS:   74 02:17:24     -859.484664        0.0145
BFGS:   75 02:19:20     -859.484750        0.0164
BFGS:   76 02:22:30     -859.482712        0.1123
BFGS:   77 02:25:41     -859.484834        0.0234
BFGS:   78 02:26:36     -859.484821        0.0190
BFGS:   79 02:28:31     -859.484856        0.0135
BFGS:   80 02:30:26     -859.484870        0.0206
BFGS:   81 02:31:51     -859.484891        0.0205
BFGS:   82 02:36:17     -859.467462        0.4529
BFGS:   83 02:40:43     -859.484540        0.1032
BFGS:   84 02:42:53     -859.484822        0.0277
BFGS:   85 02:44:48     -859.484863        0.0335
BFGS:   86 02:46:43     -859.484910        0.0135
BFGS:   87 02:47:39     -859.484883        0.0186
BFGS:   88 02:49:49     -859.484882        0.0236
BFGS:   89 02:51:44     -859.484850        0.0257
BFGS:   90 02:53:09     -859.484890        0.0208
BFGS:   91 02:57:20     -859.459453        0.7841
BFGS:   92 03:02:01     -859.484864        0.0276
BFGS:   93 03:03:26     -859.484907        0.0310
BFGS:   94 03:05:06     -859.484897        0.0320
BFGS:   95 03:06:31     -859.484918        0.0458
BFGS:   96 03:12:13     -859.285530        3.6783
BFGS:   97 03:17:09     -859.482965        0.1549
BFGS:   98 03:20:05     -859.484270        0.0608
BFGS:   99 03:22:00     -859.484448        0.0588
      Step     Time          Energy         fmax
BFGS:    0 03:25:11     -859.483742        0.1746
BFGS:    1 03:27:51     -859.484330        0.0907
BFGS:    2 03:29:17     -859.484560        0.0572
BFGS:    3 03:34:43     -859.324514        3.3602
BFGS:    4 03:39:39     -859.484716        0.0974
BFGS:    5 03:41:19     -859.484703        0.0378
BFGS:    6 03:43:29     -859.484580        0.0526
BFGS:    7 03:45:09     -859.484736        0.0455
BFGS:    8 03:48:20     -859.484128        0.2232
BFGS:    9 03:51:15     -859.484820        0.0434
BFGS:   10 03:52:10     -859.484877        0.0521
BFGS:   11 03:53:35     -859.484853        0.0265
BFGS:   12 03:55:30     -859.484837        0.0647
BFGS:   13 03:57:25     -859.484815        0.0474
BFGS:   14 03:59:21     -859.484854        0.0164
BFGS:   15 04:00:16     -859.484878        0.0325
BFGS:   16 04:02:26     -859.484861        0.0656
BFGS:   17 04:03:51     -859.484932        0.0635
BFGS:   18 04:08:47     -859.431507        1.6801
BFGS:   19 04:12:58     -859.484279        0.1912
BFGS:   20 04:15:08     -859.484714        0.0635
BFGS:   21 04:17:03     -859.484812        0.0345
BFGS:   22 04:18:58     -859.484804        0.0657
BFGS:   23 04:19:53     -859.484821        0.0842
BFGS:   24 04:22:34     -859.482208        0.3688
BFGS:   25 04:25:29     -859.484818        0.0439
BFGS:   26 04:26:54     -859.484881        0.0301
BFGS:   27 04:30:35     -859.467187        1.0546
BFGS:   28 04:34:31     -859.484957        0.0260
BFGS:   29 04:36:26     -859.484937        0.0305
BFGS:   30 04:38:51     -859.484772        0.0668
