      Step     Time          Energy         fmax
BFGS:    0 11:25:52     -859.290440        2.8781
BFGS:    1 11:32:47     -859.553787        2.0281
BFGS:    2 11:39:42     -859.723459        1.2715
BFGS:    3 11:46:15     -859.828323        0.7182
BFGS:    4 11:52:25     -859.891343        0.6924
BFGS:    5 11:58:35     -859.934738        0.5330
BFGS:    6 12:04:46     -859.966235        0.3015
BFGS:    7 12:09:27     -859.981401        0.1826
BFGS:    8 12:14:31     -859.995694        0.1757
BFGS:    9 12:19:35     -860.005701        0.1915
BFGS:   10 12:25:00     -860.014760        0.1471
BFGS:   11 12:30:04     -860.022343        0.1625
BFGS:   12 12:34:24     -860.027905        0.1432
BFGS:   13 12:40:11     -860.033939        0.1399
BFGS:   14 12:44:08     -860.036176        0.0897
BFGS:   15 12:48:05     -860.039191        0.0708
BFGS:   16 12:52:01     -860.040408        0.0597
BFGS:   17 12:55:36     -860.041679        0.0447
BFGS:   18 12:59:33     -860.042369        0.0395
BFGS:   19 13:02:46     -860.042771        0.0476
BFGS:   20 13:06:20     -860.043316        0.0466
BFGS:   21 13:09:33     -860.043693        0.0417
BFGS:   22 13:13:07     -860.044258        0.0544
BFGS:   23 13:16:42     -860.044788        0.0779
BFGS:   24 13:23:13     -860.040328        0.1700
BFGS:   25 13:29:02     -860.046234        0.1038
BFGS:   26 13:32:36     -860.046683        0.1002
BFGS:   27 13:36:11     -860.048204        0.0812
BFGS:   28 13:40:08     -860.049855        0.0595
BFGS:   29 13:44:49     -860.051612        0.0626
BFGS:   30 13:48:23     -860.051914        0.0588
BFGS:   31 13:51:58     -860.052686        0.0543
BFGS:   32 13:55:55     -860.054170        0.0410
BFGS:   33 13:58:45     -860.054712        0.0504
BFGS:   34 14:05:39     -860.040347        0.2720
BFGS:   35 14:12:13     -860.055671        0.1683
BFGS:   36 14:16:54     -860.056901        0.0897
BFGS:   37 14:20:07     -860.057207        0.0521
BFGS:   38 14:23:20     -860.057719        0.0609
BFGS:   39 14:27:17     -860.057910        0.0679
BFGS:   40 14:30:30     -860.058427        0.0651
BFGS:   41 14:34:05     -860.058959        0.0388
BFGS:   42 14:36:56     -860.059194        0.0486
BFGS:   43 14:42:45     -860.055581        0.4707
BFGS:   44 14:48:32     -860.057412        0.3033
BFGS:   45 14:53:14     -860.059996        0.0631
