      Step     Time          Energy         fmax
BFGS:    0 07:35:09     -866.559774        1.5065
BFGS:    1 07:50:43     -866.802000        0.8774
BFGS:    2 08:10:24     -867.063656        0.4322
BFGS:    3 08:27:21     -867.134836        0.4896
BFGS:    4 08:42:25     -867.190251        0.5946
BFGS:    5 08:58:12     -867.236274        0.4073
BFGS:    6 09:14:52     -867.278736        0.3220
BFGS:    7 09:30:59     -867.309783        0.3084
BFGS:    8 09:46:47     -867.348619        0.4459
BFGS:    9 10:00:49     -867.374362        0.3736
BFGS:   10 10:15:47     -867.397506        0.1735
BFGS:   11 10:30:01     -867.411285        0.1841
BFGS:   12 10:41:32     -867.424463        0.1568
BFGS:   13 10:55:09     -867.435724        0.1809
BFGS:   14 11:09:15     -867.442749        0.1696
BFGS:   15 11:20:35     -867.448874        0.1135
BFGS:   16 11:32:52     -867.454560        0.0965
BFGS:   17 11:42:33     -867.457309        0.0932
BFGS:   18 11:56:29     -867.462522        0.0830
BFGS:   19 12:06:01     -867.465098        0.0656
BFGS:   20 12:20:00     -867.467363        0.1270
BFGS:   21 12:32:11     -867.470449        0.0832
BFGS:   22 12:41:38     -867.472386        0.0553
BFGS:   23 12:51:12     -867.474832        0.0493
BFGS:   24 13:01:30     -867.476833        0.0656
BFGS:   25 13:10:39     -867.478247        0.0541
BFGS:   26 13:24:45     -867.479933        0.0525
BFGS:   27 13:34:19     -867.480325        0.0422
BFGS:   28 13:42:58     -867.480968        0.0352
BFGS:   29 13:52:37     -867.482113        0.0368
BFGS:   30 14:00:27     -867.482548        0.0275
BFGS:   31 14:14:32     -867.481575        0.0902
BFGS:   32 14:26:53     -867.483607        0.0311
BFGS:   33 14:34:39     -867.483817        0.0254
BFGS:   34 14:43:25     -867.484114        0.0202
BFGS:   35 14:52:15     -867.484208        0.0187
