      Step     Time          Energy         fmax
BFGS:    0 06:29:39     -948.123056        0.3231
BFGS:    1 06:37:40     -948.150301        0.2842
BFGS:    2 06:50:08     -948.215079        0.2489
BFGS:    3 06:59:25     -948.234744        0.2872
BFGS:    4 07:08:05     -948.251983        0.1764
BFGS:    5 07:18:38     -948.265070        0.1694
BFGS:    6 07:27:56     -948.277364        0.2143
BFGS:    7 07:36:35     -948.290512        0.2222
BFGS:    8 07:49:04     -948.307079        0.2001
BFGS:    9 07:59:00     -948.315758        0.1565
BFGS:   10 08:07:02     -948.326446        0.1776
BFGS:   11 08:14:25     -948.333594        0.1479
BFGS:   12 08:23:43     -948.342094        0.1420
BFGS:   13 08:32:22     -948.346650        0.1449
BFGS:   14 08:42:18     -948.351327        0.1554
BFGS:   15 08:50:20     -948.353324        0.1217
BFGS:   16 08:57:05     -948.355662        0.1069
BFGS:   17 09:05:06     -948.359270        0.0806
BFGS:   18 09:11:13     -948.360524        0.0683
BFGS:   19 09:23:42     -948.363398        0.1064
BFGS:   20 09:31:43     -948.364840        0.0779
BFGS:   21 09:37:12     -948.365814        0.0723
BFGS:   22 09:47:46     -948.367866        0.0696
BFGS:   23 09:55:09     -948.369105        0.0577
BFGS:   24 10:02:33     -948.371183        0.0506
BFGS:   25 10:09:18     -948.372721        0.0560
BFGS:   26 10:19:13     -948.375972        0.0488
BFGS:   27 10:29:47     -948.377175        0.0660
BFGS:   28 10:39:05     -948.377859        0.0416
BFGS:   29 10:45:50     -948.378161        0.0553
BFGS:   30 10:51:57     -948.379060        0.0337
BFGS:   31 10:59:58     -948.380793        0.0330
BFGS:   32 11:06:43     -948.381938        0.0438
BFGS:   33 11:16:39     -948.384987        0.0750
BFGS:   34 11:25:57     -948.384036        0.0863
BFGS:   35 11:32:42     -948.385051        0.0410
BFGS:   36 11:38:11     -948.385681        0.0489
BFGS:   37 11:48:45     -948.387312        0.0670
BFGS:   38 11:54:52     -948.387897        0.0450
BFGS:   39 12:06:05     -948.383943        0.0901
BFGS:   40 12:15:23     -948.388638        0.0241
BFGS:   41 12:20:52     -948.388578        0.0520
BFGS:   42 12:26:59     -948.389040        0.0424
BFGS:   43 12:36:17     -948.390735        0.0373
BFGS:   44 12:41:46     -948.390712        0.0288
BFGS:   45 12:51:42     -948.390881        0.0632
BFGS:   46 12:57:10     -948.391419        0.0278
BFGS:   47 13:03:55     -948.391689        0.0220
BFGS:   48 13:10:41     -948.392355        0.0195
