      Step     Time          Energy         fmax
BFGS:    0 17:29:27     -889.532502        1.1349
BFGS:    1 17:41:06     -889.743535        0.8565
BFGS:    2 17:53:24     -889.964954        0.4347
BFGS:    3 18:05:04     -890.029665        0.4026
BFGS:    4 18:16:03     -890.086666        0.3180
BFGS:    5 18:26:24     -890.118485        0.2972
BFGS:    6 18:36:44     -890.156456        0.2520
BFGS:    7 18:47:05     -890.189663        0.2642
BFGS:    8 18:58:46     -890.222364        0.2151
BFGS:    9 19:09:08     -890.249019        0.2320
BFGS:   10 19:18:50     -890.270765        0.2152
BFGS:   11 19:30:31     -890.287020        0.1981
BFGS:   12 19:40:13     -890.298512        0.1657
BFGS:   13 19:49:15     -890.311914        0.1808
BFGS:   14 19:58:16     -890.321315        0.1810
BFGS:   15 20:06:38     -890.331019        0.1701
BFGS:   16 20:16:58     -890.344075        0.1597
BFGS:   17 20:26:38     -890.352091        0.1613
BFGS:   18 20:34:20     -890.358745        0.1530
BFGS:   19 20:44:40     -890.366701        0.1153
BFGS:   20 20:52:22     -890.370266        0.0958
BFGS:   21 21:00:03     -890.374983        0.0798
BFGS:   22 21:07:44     -890.378002        0.0962
BFGS:   23 21:16:43     -890.380899        0.0949
BFGS:   24 21:24:25     -890.383183        0.0772
BFGS:   25 21:30:08     -890.384833        0.0639
BFGS:   26 21:37:49     -890.385983        0.0509
BFGS:   27 21:43:31     -890.386832        0.0586
BFGS:   28 21:51:13     -890.387469        0.0765
BFGS:   29 21:57:36     -890.388752        0.0665
BFGS:   30 22:05:17     -890.392286        0.0522
BFGS:   31 22:12:19     -890.394057        0.0559
BFGS:   32 22:18:01     -890.395644        0.0508
BFGS:   33 22:28:21     -890.395708        0.1008
BFGS:   34 22:37:21     -890.397241        0.0620
BFGS:   35 22:45:42     -890.396912        0.0378
BFGS:   36 22:52:44     -890.397607        0.0494
BFGS:   37 23:02:24     -890.398342        0.0569
BFGS:   38 23:08:07     -890.398381        0.0456
BFGS:   39 23:17:47     -890.396910        0.1610
BFGS:   40 23:24:49     -890.398312        0.0440
BFGS:   41 23:32:31     -890.398665        0.0640
BFGS:   42 23:38:14     -890.398803        0.0604
BFGS:   43 23:45:55     -890.398944        0.0516
BFGS:   44 23:52:18     -890.399173        0.0395
BFGS:   45 23:58:00     -890.399185        0.0527
BFGS:   46 00:03:43     -890.399303        0.0457
BFGS:   47 00:10:06     -890.399673        0.0298
BFGS:   48 00:14:29     -890.400020        0.0342
BFGS:   49 00:20:12     -890.400204        0.0444
BFGS:   50 00:27:54     -890.400056        0.0426
BFGS:   51 00:30:57     -890.400088        0.0626
BFGS:   52 00:37:20     -890.399304        0.1339
BFGS:   53 00:43:03     -890.399480        0.0406
BFGS:   54 00:50:05     -890.399740        0.0269
BFGS:   55 00:55:47     -890.400332        0.0375
BFGS:   56 01:02:50     -890.400732        0.0477
BFGS:   57 01:11:11     -890.401468        0.0559
BFGS:   58 01:17:33     -890.401640        0.0595
BFGS:   59 01:26:34     -890.401551        0.0623
BFGS:   60 01:33:36     -890.401925        0.0371
BFGS:   61 01:41:57     -890.401542        0.1175
BFGS:   62 01:47:40     -890.401462        0.1010
BFGS:   63 01:55:21     -890.402014        0.1933
BFGS:   64 02:01:04     -890.402220        0.0518
BFGS:   65 02:06:47     -890.402419        0.0355
BFGS:   66 02:12:30     -890.402521        0.0151
